"jhi_year","module_name","pedagogy","printing","exam"
2016,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2021,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2026,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2017,"Introduction to Human Resource Development","BLENDED","NONE","VENUE"
2015,"Introduction to Human Resource Development","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2025,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2018,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2023,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2019,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2022,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2024,"Introduction to Human Resource Development","BLENDED","NONE","ONLINE"
2016,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2021,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2026,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2017,"Introduction to Human Resource Management","BLENDED","NONE","VENUE"
2015,"Introduction to Human Resource Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2025,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2018,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2023,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2019,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2022,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2024,"Introduction to Human Resource Management","BLENDED","NONE","ONLINE"
2016,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2021,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2026,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2017,"Introduction to Labour Relations Management","BLENDED","NONE","VENUE"
2015,"Introduction to Labour Relations Management","Digital Correspondence","Study Guide and Tutorial Letters","VENUE"
2020,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2025,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2018,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2023,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2019,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
2022,"Introduction to Labour Relations Management","BLENDED","NONE","ONLINE"
